"Notes"	"Year"	"Year Code"	"State of Residence"	"State of Residence Code"	Births
	"2018"	"2018"	"Michigan"	"26"	34850
	"2018"	"2018"	"Minnesota"	"27"	20260
	"2018"	"2018"	"Mississippi"	"28"	10895
	"2018"	"2018"	"Missouri"	"29"	22704
	"2018"	"2018"	"Montana"	"30"	3603
	"2018"	"2018"	"Nebraska"	"31"	7175
	"2018"	"2018"	"Nevada"	"32"	11253
	"2018"	"2018"	"New Hampshire"	"33"	4354
	"2018"	"2018"	"New Jersey"	"34"	34388
	"2018"	"2018"	"New Mexico"	"35"	7130
	"2018"	"2018"	"New York"	"36"	78268
	"2018"	"2018"	"North Carolina"	"37"	40201
	"2018"	"2018"	"North Dakota"	"38"	3167
	"2018"	"2018"	"Ohio"	"39"	42221
	"2018"	"2018"	"Oklahoma"	"40"	14889
	"2018"	"2018"	"Oregon"	"41"	14432
	"2018"	"2018"	"Pennsylvania"	"42"	44598
	"2018"	"2018"	"Rhode Island"	"44"	3556
	"2018"	"2018"	"South Carolina"	"45"	18488
	"2018"	"2018"	"South Dakota"	"46"	3359
	"2018"	"2018"	"Tennessee"	"47"	26168
	"2018"	"2018"	"Texas"	"48"	118571
	"2018"	"2018"	"Utah"	"49"	13886
	"2018"	"2018"	"Vermont"	"50"	1880
	"2018"	"2018"	"Virginia"	"51"	33231
	"2018"	"2018"	"Washington"	"53"	28864
	"2018"	"2018"	"West Virginia"	"54"	5848
	"2018"	"2018"	"Wisconsin"	"55"	19145
	"2018"	"2018"	"Wyoming"	"56"	2059
	"2019"	"2019"	"Alabama"	"01"	18655
	"2019"	"2019"	"Alaska"	"02"	2967
	"2019"	"2019"	"Arizona"	"04"	24946
	"2019"	"2019"	"Arkansas"	"05"	11159
	"2019"	"2019"	"California"	"06"	152871
	"2019"	"2019"	"Colorado"	"08"	21908
	"2019"	"2019"	"Connecticut"	"09"	12030
	"2019"	"2019"	"Delaware"	"10"	3459
	"2019"	"2019"	"District of Columbia"	"11"	3447
	"2019"	"2019"	"Florida"	"12"	73420
	"2019"	"2019"	"Georgia"	"13"	41632
	"2019"	"2019"	"Hawaii"	"15"	5276
	"2019"	"2019"	"Idaho"	"16"	6681
	"2019"	"2019"	"Illinois"	"17"	44952
	"2019"	"2019"	"Indiana"	"18"	25081
	"2019"	"2019"	"Iowa"	"19"	11186
	"2019"	"2019"	"Kansas"	"20"	10718
	"2019"	"2019"	"Kentucky"	"21"	16743
	"2019"	"2019"	"Louisiana"	"22"	18041
	"2019"	"2019"	"Maine"	"23"	4119
	"2019"	"2019"	"Maryland"	"24"	23216
	"2019"	"2019"	"Massachusetts"	"25"	25983
	"2019"	"2019"	"Michigan"	"26"	34120
	"2019"	"2019"	"Minnesota"	"27"	19886
	"2019"	"2019"	"Mississippi"	"28"	10948
	"2019"	"2019"	"Missouri"	"29"	22511
	"2019"	"2019"	"Montana"	"30"	3561
	"2019"	"2019"	"Nebraska"	"31"	7138
	"2019"	"2019"	"Nevada"	"32"	11284
	"2019"	"2019"	"New Hampshire"	"33"	4209
	"2019"	"2019"	"New Jersey"	"34"	34031
	"2019"	"2019"	"New Mexico"	"35"	7180
	"2019"	"2019"	"New York"	"36"	77107
	"2019"	"2019"	"North Carolina"	"37"	40156
	"2019"	"2019"	"North Dakota"	"38"	3137
	"2019"	"2019"	"Ohio"	"39"	42210
	"2019"	"2019"	"Oklahoma"	"40"	15010
	"2019"	"2019"	"Oregon"	"41"	14329
	"2019"	"2019"	"Pennsylvania"	"42"	43963
	"2019"	"2019"	"Rhode Island"	"44"	3521
	"2019"	"2019"	"South Carolina"	"45"	18586
	"2019"	"2019"	"South Dakota"	"46"	3274
	"2019"	"2019"	"Tennessee"	"47"	26245
	"2019"	"2019"	"Texas"	"48"	121391
	"2019"	"2019"	"Utah"	"49"	13851
	"2019"	"2019"	"Vermont"	"50"	1909
	"2019"	"2019"	"Virginia"	"51"	32843
	"2019"	"2019"	"Washington"	"53"	28543
	"2019"	"2019"	"West Virginia"	"54"	5811
	"2019"	"2019"	"Wisconsin"	"55"	19167
	"2019"	"2019"	"Wyoming"	"56"	2065
	"2020"	"2020"	"Alabama"	"01"	18602
	"2020"	"2020"	"Alaska"	"02"	2848
	"2020"	"2020"	"Arizona"	"04"	24679
	"2020"	"2020"	"Arkansas"	"05"	10944
	"2020"	"2020"	"California"	"06"	144995
	"2020"	"2020"	"Colorado"	"08"	22141
	"2020"	"2020"	"Connecticut"	"09"	11918
	"2020"	"2020"	"Delaware"	"10"	3468
	"2020"	"2020"	"District of Columbia"	"11"	3456
	"2020"	"2020"	"Florida"	"12"	71785
	"2020"	"2020"	"Georgia"	"13"	41415
	"2020"	"2020"	"Hawaii"	"15"	5407
	"2020"	"2020"	"Idaho"	"16"	6754
	"2020"	"2020"	"Illinois"	"17"	43046
	"2020"	"2020"	"Indiana"	"18"	24481
	"2020"	"2020"	"Iowa"	"19"	10870
	"2020"	"2020"	"Kansas"	"20"	10687
	"2020"	"2020"	"Kentucky"	"21"	16713
	"2020"	"2020"	"Louisiana"	"22"	17562
	"2020"	"2020"	"Maine"	"23"	4075
	"2020"	"2020"	"Maryland"	"24"	22771
	"2020"	"2020"	"Massachusetts"	"25"	25271
	"2020"	"2020"	"Michigan"	"26"	33452
	"2020"	"2020"	"Minnesota"	"27"	19418
	"2020"	"2020"	"Mississippi"	"28"	11035
	"2020"	"2020"	"Missouri"	"29"	21581
	"2020"	"2020"	"Montana"	"30"	3482
	"2020"	"2020"	"Nebraska"	"31"	6987
	"2020"	"2020"	"Nevada"	"32"	11023
	"2020"	"2020"	"New Hampshire"	"33"	4376
	"2020"	"2020"	"New Jersey"	"34"	33931
	"2020"	"2020"	"New Mexico"	"35"	7186
	"2020"	"2020"	"New York"	"36"	72437
	"2020"	"2020"	"North Carolina"	"37"	39569
	"2020"	"2020"	"North Dakota"	"38"	3068
	"2020"	"2020"	"Ohio"	"39"	41162
	"2020"	"2020"	"Oklahoma"	"40"	14210
	"2020"	"2020"	"Oregon"	"41"	13978
	"2020"	"2020"	"Pennsylvania"	"42"	43025
	"2020"	"2020"	"Rhode Island"	"44"	3677
	"2020"	"2020"	"South Carolina"	"45"	18227
	"2020"	"2020"	"South Dakota"	"46"	3185
	"2020"	"2020"	"Tennessee"	"47"	26071
	"2020"	"2020"	"Texas"	"48"	121529
	"2020"	"2020"	"Utah"	"49"	13743
	"2020"	"2020"	"Vermont"	"50"	1837
	"2020"	"2020"	"Virginia"	"51"	32157
	"2020"	"2020"	"Washington"	"53"	28155
	"2020"	"2020"	"West Virginia"	"54"	5571
	"2020"	"2020"	"Wisconsin"	"55"	18710
	"2020"	"2020"	"Wyoming"	"56"	1943
	"2021"	"2021"	"Alabama"	"01"	18794
	"2021"	"2021"	"Alaska"	"02"	2826
	"2021"	"2021"	"Arizona"	"04"	25083
	"2021"	"2021"	"Arkansas"	"05"	11341
	"2021"	"2021"	"California"	"06"	144734
	"2021"	"2021"	"Colorado"	"08"	22622
	"2021"	"2021"	"Connecticut"	"09"	12386
	"2021"	"2021"	"Delaware"	"10"	3522
	"2021"	"2021"	"District of Columbia"	"11"	3396
	"2021"	"2021"	"Florida"	"12"	73480
	"2021"	"2021"	"Georgia"	"13"	41325
	"2021"	"2021"	"Hawaii"	"15"	5039
	"2021"	"2021"	"Idaho"	"16"	6974
	"2021"	"2021"	"Illinois"	"17"	42337
	"2021"	"2021"	"Indiana"	"18"	24633
	"2021"	"2021"	"Iowa"	"19"	11036
	"2021"	"2021"	"Kansas"	"20"	10601
	"2021"	"2021"	"Kentucky"	"21"	16314
	"2021"	"2021"	"Louisiana"	"22"	17540
	"2021"	"2021"	"Maine"	"23"	4164
	"2021"	"2021"	"Maryland"	"24"	22383
	"2021"	"2021"	"Massachusetts"	"25"	25420
	"2021"	"2021"	"Michigan"	"26"	33011
	"2021"	"2021"	"Minnesota"	"27"	19361
	"2021"	"2021"	"Mississippi"	"28"	10803
	"2021"	"2021"	"Missouri"	"29"	21284
	"2021"	"2021"	"Montana"	"30"	3742
	"2021"	"2021"	"Nebraska"	"31"	7135
	"2021"	"2021"	"Nevada"	"32"	10829
	"2021"	"2021"	"New Hampshire"	"33"	4651
	"2021"	"2021"	"New Jersey"	"34"	34733
	"2021"	"2021"	"New Mexico"	"35"	7073
	"2021"	"2021"	"New York"	"36"	71516
	"2021"	"2021"	"North Carolina"	"37"	40747
	"2021"	"2021"	"North Dakota"	"38"	3003
	"2021"	"2021"	"Ohio"	"39"	41007
	"2021"	"2021"	"Oklahoma"	"40"	14808
	"2021"	"2021"	"Oregon"	"41"	14241
	"2021"	"2021"	"Pennsylvania"	"42"	42705
	"2021"	"2021"	"Rhode Island"	"44"	3776
	"2021"	"2021"	"South Carolina"	"45"	18908
	"2021"	"2021"	"South Dakota"	"46"	3240
	"2021"	"2021"	"Tennessee"	"47"	27385
	"2021"	"2021"	"Texas"	"48"	122302
	"2021"	"2021"	"Utah"	"49"	14044
	"2021"	"2021"	"Vermont"	"50"	1934
	"2021"	"2021"	"Virginia"	"51"	32354
	"2021"	"2021"	"Washington"	"53"	27318
	"2021"	"2021"	"West Virginia"	"54"	5554
	"2021"	"2021"	"Wisconsin"	"55"	19010
	"2021"	"2021"	"Wyoming"	"56"	1934
"---"
"Dataset: Natality, 2016-2021 expanded"
"Query Parameters:"
"Fetal Presentation: Cephalic"
"Live Birth Order: 1"
"OE Gestational Age Recode 11: 37-38 weeks; 39 weeks; 40 weeks; 41 weeks; 42 weeks or more"
"Plurality: Single"
"Group By: Year; State of Residence"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality-expanded.html for more information."
"---"
"Query Date: Mar 5, 2023 11:59:41 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2021, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Mar 5, 2023 11:59:41 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
